Comment,Designator,Footprint,LCSC Part Number
10uF,"C1, C19, C23, C27, C31",1206,C13585
10uF,"C2, C10, C11",1206,C13585
0.1uF,"C3, C4, C5, C16, C18, C20, C21, C22, C24, C25, C26, C28, C29, C30, C32, C33, C34, C35, C36, C37, C38, C39, C40, C42, C43, C45, C46, C48, C49, C51, C52, C54, C55, C57, C58, C60, C61, C63, C64, C65, C66, C67, C68, C69, C71, C72, C73, C75, Ce1, Ce2, Ce3, Ce4",1206,C24497
100nF,"C6, C7, C8, C9, C12, C13, C14, C17",1206,C24497
1uF,C15,1206,C1848
0.01uF,"C41, C44, C47, C50, C53, C56, C59, C62",0402,C15195
0.1uF,"C70, C74, C76, C77, C78, C79",0402,C1525
LED Orange,"D7, D9, D12, D15, D18, D21",1206,C183851
LED Green,"D2, D3, D4, D8, D10, D13, D16,, D19, D22",1206,C14641
D_Schottky,"D5, D11, D14, D17, D20, D23",SMA(DO-214AC),C2480
HBT LED Red,D6,1206,C125086
Fuse,"F2, F3, F4, F5, F6, F7",1812,C20814
OKL-T_6-W12N-C,MD1,MURATA_OKL-T-6-W12N-C_0,C6248591
AO3401A,Q1,SOT23,C15127
470R,R1,1206,C4502
10kR,"R2, R10, R11, R12, R19, R90, R94, R98, R107, R121",1206,C17902
250R,"R3, R5, R6, R13",1206,C2828898
10MR,R7,1206,C26119
1.15MR,R8,1206,C332934
1kR,"R4, R9, R14, R15, R18, R23, R24, R25, R26, R30, R31, R32, R33, R37, R38, R39, R40, R44, R45, R46, R47, R48, R49, R53, R54, R58, R59, R64, R65, R68, R70, R71, R74, R76, R77, R80, R82, R83, R86, R87, R88, R89, R91, R92, R93, R95, R96, R97, R99, R100, R104, R105, R106, R109, R111, R113, R115, R117, R118, R119, R120, R123",1206,C4410
15kR,R16,1206,C25828
5kR,R17,1206,C870818
330R,"R20, R27, R34, R41, R126",1206,C104769
3.3kR,"R21, R22, R28, R29, R35, R36, R42, R43",0402,C25890
30R,"R50, R55, R60, R101",1206,C25373
47kR,"R51, R56, R61, R102",1206,C25664
3.3kR,"R52, R57, R62, R103, R127, R128, R129, R130",402,C149918
100R,"R63, R66, R69, R72, R75, R78, R81, R84",1206,C17901
1MR,"R67, R73, R79, R85",1206,C17927
10mR,"R108, R110, R112, R114, R116, R122",2512,C241862
100kR,R124,1206,C17900
50kR,R125,805,C316211
TVS1400DRV,U1,WSON-6-1EP_2x2mm,C1975229
NUP4202,"U2, U4, U5, U12, U32, U35",SOT-363,C89319
MCP3208,"U3, U11",SOIC-16,C16939
TLV9304xD,"U6, U7, U9, U10",SOIC-14,C2873295
TPS7A24,U8,SOT-23-5,C2864435
AD8223,"U18, U19, U20, U21",SOIC-8,C652531
TLVH431BIL3T,"U23, U25, U27, U29",SOT-23,C1852785
INA180A4,U30,SOT-23-5,C133969
INA4180A4,U31,TSSOP-14,C2058313
INA180A2,U33,SOT-23-5,C192764
MCP3204,U34,SOIC-14,C32816
TLV9301xDBV,U36,SOT-23-5,C2867945
