Designator,Val,Package,MidX,MidY,Rotation,Layer,,
C1,10u,C_1206_3216Metric,132.8166,-170.9674,-90,top,,0
C2,10u,C_1206_3216Metric,121.479,-173.2034,0,top,,
C3,0.1u,C_1206_3216Metric,146.7104,-136.2781,180,top,,
C4,0.1u,C_1206_3216Metric,106.6588,-92.2388,-90,top,,
C5,0.1u,C_1206_3216Metric,85.6784,-92.4928,-90,top,,
C8,100n,C_1206_3216Metric,212.408,-95.0976,180,top,,
C9,100n,C_1206_3216Metric,211.074,-72.644,0,top,,
C10,10u,C_1206_3216Metric,238.3023,-49.0673,90,top,,
C11,10u,C_1206_3216Metric,239.7755,-57.2461,0,top,,
C14,100n,C_1206_3216Metric,172.9882,-137.1275,180,top,,
C15,1u,C_1206_3216Metric,33.914399,-173.7868,90,top,,
C16,0.1u,C_1206_3216Metric,131.6523,-94.629,0,top,,
C18,0.1u,C_1206_3216Metric,114.1518,-92.2642,90,top,,
C19,10u,C_1206_3216Metric,73.9394,-66.421,180,top,,
C20,0.1u,C_1206_3216Metric,73.8928,-68.9724,180,top,,
C21,0.1u,C_1206_3216Metric,109.1226,-92.2642,-90,top,,
C22,0.1u,C_1206_3216Metric,99.1404,-92.2027,90,top,,
C23,10u,C_1206_3216Metric,73.7362,-88.9,180,top,,
C24,0.1u,C_1206_3216Metric,73.6878,-91.3498,180,top,,
C25,0.1u,C_1206_3216Metric,104.195,-92.2388,-90,top,,
C26,0.1u,C_1206_3216Metric,99.3944,-106.7422,-90,top,,
C27,10u,C_1206_3216Metric,73.2536,-114.2746,180,top,,
C28,0.1u,C_1206_3216Metric,73.3552,-116.586,180,top,,
C29,0.1u,C_1206_3216Metric,104.2204,-106.7422,90,top,,
C30,0.1u,C_1206_3216Metric,113.974,-106.744,-90,top,,
C31,10u,C_1206_3216Metric,76.708,-132.5372,180,top,,
C32,0.1u,C_1206_3216Metric,76.7319,-134.8448,180,top,,
C33,0.1u,C_1206_3216Metric,109.148,-106.744,90,top,,
C34,0.1u,C_1206_3216Metric,198.181,-88.0618,180,top,,
C35,0.1u,C_1206_3216Metric,198.1302,-92.837,180,top,,
C36,0.1u,C_1206_3216Metric,212.4959,-87.8078,0,top,,
C37,0.1u,C_1206_3216Metric,212.5066,-92.6338,0,top,,
C38,0.1u,C_1206_3216Metric,212.3524,-102.235,0,top,,
C39,0.1u,C_1206_3216Metric,212.3796,-97.4852,0,top,,
C40,0.1u,C_1206_3216Metric,117.9322,-77.5716,90,top,,
C41,0.01u,C_0402_1005Metric,109.248,-71.374,180,top,,
C42,0.1u,C_1206_3216Metric,112.9087,-67.4568,180,top,,
C43,0.1u,C_1206_3216Metric,131.68,-97.0576,180,top,,
C44,0.01u,C_0402_1005Metric,117.4052,-73.334,180,top,,
C46,0.1u,C_1206_3216Metric,134.4994,-79.3284,90,top,,
C47,0.01u,C_0402_1005Metric,126.9828,-72.445,180,top,,
C48,0.1u,C_1206_3216Metric,131.8106,-68.5842,180,top,,
C49,0.1u,C_1206_3216Metric,131.6292,-92.1808,180,top,,
C50,0.01u,C_0402_1005Metric,135.744,-74.7056,180,top,,
C52,0.1u,C_1206_3216Metric,153.924,-80.772,90,top,,
C53,0.01u,C_0402_1005Metric,145.1667,-72.7039,180,top,,
C54,0.1u,C_1206_3216Metric,149.1545,-69.1733,180,top,,
C55,0.1u,C_1206_3216Metric,147.1232,-92.13,0,top,,
C56,0.01u,C_0402_1005Metric,153.2636,-75.184,180,top,,
C58,0.1u,C_1206_3216Metric,169.526,-79.4046,90,top,,
C59,0.01u,C_0402_1005Metric,162.7603,-72.9386,180,top,,
C60,0.1u,C_1206_3216Metric,166.0369,-69.3064,180,top,,
C61,0.1u,C_1206_3216Metric,147.1232,-97.0068,0,top,,
C62,0.01u,C_0402_1005Metric,169.78,-75.6708,180,top,,
C64,0.1u,C_1206_3216Metric,198.0794,-102.5545,180,top,,
C65,0.1u,C_1206_3216Metric,198.0794,-97.7138,180,top,,
C66,0.1u,C_1206_3216Metric,253.0896,-118.2086,0,top,,
C67,0.1u,C_1206_3216Metric,257.7886,-118.1862,0,top,,
C68,0.1u,C_1206_3216Metric,261.5989,-132.8928,0,top,,
C69,0.1u,C_1206_3216Metric,252.984,-132.8674,180,top,,
C70,0.1u,C_0402_1005Metric,255.5494,-144.3482,180,top,,
C71,0.1u,C_1206_3216Metric,252.9121,-166.0144,180,top,,
C72,0.1u,C_1206_3216Metric,261.747,-166.3192,0,top,,
C73,0.1u,C_1206_3216Metric,122.9939,-136.0678,180,top,,
C74,0.1u,C_0402_1005Metric,158.496,-172.1358,0,top,,
C75,0.1u,C_1206_3216Metric,161.924983,-179.2064,90,top,,
C76,0.1u,C_0402_1005Metric,154.5736,-153.7224,0,top,,
Ce1,0.1u,C_1206_3216Metric,131.68,-101.8836,180,top,,
Ce2,0.1u,C_1206_3216Metric,131.6528,-87.3294,180,top,,
Ce3,0.1u,C_1206_3216Metric,147.0871,-87.3548,0,top,,
Ce4,0.1u,C_1206_3216Metric,147.1232,-101.8074,0,top,,
D2,LED,LED_1206_3216Metric,152.4762,-170.7388,90,top,,
D3,LED,LED_1206_3216Metric,116.5768,-173.432,90,top,,
D4,LED,LED_1206_3216Metric,142.24,-184.404,180,top,,
D5,D_Schottky,D_SMA,121.2728,-182.448,90,top,,
D6,HBT,LED_1206_3216Metric,35.687,-161.036,180,top,,
D7,LED,LED_1206_3216Metric,254.127,-71.7324,180,top,,
D8,LED,LED_1206_3216Metric,250.2098,-73.4344,90,top,,
D9,LED,LED_1206_3216Metric,240.4628,-101.8002,180,top,,
D10,LED,LED_1206_3216Metric,239.0434,-106.296,90,top,,
D11,D_Schottky,D_SMA,245.8399,-107.7184,-90,top,,
D12,LED,LED_1206_3216Metric,238.757,-121.3358,180,top,,
D13,LED,LED_1206_3216Metric,236.852,-125.6284,90,top,,
D14,D_Schottky,D_SMA,243.4306,-127.5588,-90,top,,
D15,LED,LED_1206_3216Metric,238.3325,-137.5918,180,top,,
D16,LED,LED_1206_3216Metric,237.0427,-141.5034,90,top,,
D17,D_Schottky,D_SMA,243.6114,-142.5702,-90,top,,
D18,LED,LED_1206_3216Metric,238.4087,-154.1272,180,top,,
D19,LED,LED_1206_3216Metric,237.1133,-157.8515,90,top,,
D20,D_Schottky,D_SMA,243.1542,-159.0802,-90,top,,
D21,LED,LED_1206_3216Metric,238.5327,-170.2844,180,top,,
D22,LED,LED_1206_3216Metric,237.3419,-174.323,90,top,,
D23,D_Schottky,D_SMA,243.4082,-175.387,-90,top,,
F2,Fuse,Fuse_1812_4532Metric,245.7101,-72.1136,0,top,,
F3,Fuse,Fuse_1812_4532Metric,234.4714,-104.3656,0,top,,
F4,Fuse,Fuse_1812_4532Metric,231.8482,-121.6942,0,top,,
