Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,10u,CP_EIA-3216-18_Kemet-A,101.9302,15.4178,-90,top
C2,10u,C_1206_3216Metric,90.5926,13.1818,0,top
C3,0.1u,C_1206_3216Metric,115.824,50.1071,180,top
C4,0.1u,C_1206_3216Metric,75.7724,94.1464,-90,top
C5,0.1u,C_1206_3216Metric,54.792,93.8924,-90,top
C6,100n,C_1206_3216Metric,75.7682,79.629,90,top
C7,100n,C_1206_3216Metric,54.8386,81.2782,90,top
C8,100n,C_1206_3216Metric,181.5216,91.2876,180,top
C9,100n,C_1206_3216Metric,180.1876,113.7412,0,top
C10,10u,C_1206_3216Metric,207.4159,137.3179,90,top
C11,10u,C_1206_3216Metric,208.8891,129.1391,0,top
C12,100n,C_1206_3216Metric,167.2082,91.1352,0,top
C13,100n,C_1206_3216Metric,164.9476,113.9952,0,top
C14,100n,C_1206_3216Metric,142.1018,49.2577,180,top
C15,1u,C_1206_3216Metric,3.027999,12.5984,90,top
C16,0.1u,C_1206_3216Metric,100.7659,91.7562,0,top
C17,100n,C_1206_3216Metric,116.1796,91.8972,180,top
C18,0.1u,C_1206_3216Metric,83.2654,94.121,90,top
C19,10u,CP_EIA-3216-18_Kemet-A,43.053,119.9642,180,top
C20,0.1u,C_1206_3216Metric,43.0064,117.4128,180,top
C21,0.1u,C_1206_3216Metric,78.2362,94.121,-90,top
C22,0.1u,C_1206_3216Metric,68.254,94.1825,90,top
C23,10u,CP_EIA-3216-18_Kemet-A,42.8498,97.4852,180,top
C24,0.1u,C_1206_3216Metric,42.8014,95.0354,180,top
C25,0.1u,C_1206_3216Metric,73.3086,94.1464,-90,top
C26,0.1u,C_1206_3216Metric,68.508,79.643,-90,top
C27,10u,CP_EIA-3216-18_Kemet-A,42.3672,72.1106,180,top
C28,0.1u,C_1206_3216Metric,42.4688,69.7992,180,top
C29,0.1u,C_1206_3216Metric,73.334,79.643,90,top
C30,0.1u,C_1206_3216Metric,83.0876,79.6412,-90,top
C31,10u,CP_EIA-3216-18_Kemet-A,45.8216,53.848,180,top
C32,0.1u,C_1206_3216Metric,45.8455,51.5404,180,top
C33,0.1u,C_1206_3216Metric,78.2616,79.6412,90,top
C34,0.1u,C_1206_3216Metric,167.2946,98.3234,180,top
C35,0.1u,C_1206_3216Metric,167.2438,93.5482,180,top
C36,0.1u,C_1206_3216Metric,181.6095,98.5774,0,top
C37,0.1u,C_1206_3216Metric,181.6202,93.7514,0,top
C38,0.1u,C_1206_3216Metric,181.466,84.1502,0,top
C39,0.1u,C_1206_3216Metric,181.4932,88.9,0,top
C40,0.1u,C_1206_3216Metric,87.0458,108.8136,90,top
C41,0.01u,C_0402_1005Metric,78.3616,115.0112,180,top
C42,0.1u,C_1206_3216Metric,82.0223,118.9284,180,top
C43,0.1u,C_1206_3216Metric,100.7936,89.3276,180,top
C44,0.01u,C_0402_1005Metric,86.5188,113.0512,180,top
C45,0.1u,C_1206_3216Metric,76.1746,106.7562,0,top
C46,0.1u,C_1206_3216Metric,103.613,107.0568,90,top
C47,0.01u,C_0402_1005Metric,96.0964,113.9402,180,top
C48,0.1u,C_1206_3216Metric,100.9242,117.801,180,top
C49,0.1u,C_1206_3216Metric,100.7428,94.2044,180,top
C50,0.01u,C_0402_1005Metric,104.8576,111.6796,180,top
C51,0.1u,C_1206_3216Metric,95.7326,106.1212,0,top
C52,0.1u,C_1206_3216Metric,123.0376,105.6132,90,top
C53,0.01u,C_0402_1005Metric,114.2803,113.6813,180,top
C54,0.1u,C_1206_3216Metric,118.2681,117.2119,180,top
C55,0.1u,C_1206_3216Metric,116.2368,94.2552,0,top
C56,0.01u,C_0402_1005Metric,122.3772,111.2012,180,top
C57,0.1u,C_1206_3216Metric,114.2746,105.6132,0,top
C58,0.1u,C_1206_3216Metric,138.6396,106.9806,90,top
C59,0.01u,C_0402_1005Metric,131.8739,113.4466,180,top
C60,0.1u,C_1206_3216Metric,135.1505,117.0788,180,top
C61,0.1u,C_1206_3216Metric,116.2368,89.3784,0,top
C62,0.01u,C_0402_1005Metric,138.8936,110.7144,180,top
C63,0.1u,C_1206_3216Metric,129.8956,105.2322,0,top
C64,0.1u,C_1206_3216Metric,167.193,83.8307,180,top
C65,0.1u,C_1206_3216Metric,167.193,88.6714,180,top
C66,0.1u,C_1206_3216Metric,222.2032,68.1766,0,top
C67,0.1u,C_1206_3216Metric,226.9022,68.199,0,top
C68,0.1u,C_1206_3216Metric,230.7125,53.4924,0,top
C69,0.1u,C_1206_3216Metric,222.0976,53.5178,180,top
C70,0.1u,C_0402_1005Metric,224.663,42.037,180,top
C71,0.1u,C_1206_3216Metric,222.0257,20.3708,180,top
C72,0.1u,C_1206_3216Metric,230.8606,20.066,0,top
C73,0.1u,C_1206_3216Metric,92.1075,50.3174,180,top
C74,0.1u,C_0402_1005Metric,127.6096,14.2494,0,top
C75,0.1u,C_1206_3216Metric,131.038583,7.1788,90,top
C76,0.1u,C_0402_1005Metric,123.6872,32.6628,0,top
C77,0.1u,C_0402_1005Metric,118.835783,29.8447,-90,top
C78,0.1u,C_0402_1005Metric,17.3736,10.8712,90,top
C79,0.1u,C_0402_1005Metric,29.4386,11.6332,-90,top
Ce1,0.1u,C_1206_3216Metric,100.7936,84.5016,180,top
Ce2,0.1u,C_1206_3216Metric,100.7664,99.0558,180,top
Ce3,0.1u,C_1206_3216Metric,116.2007,99.0304,0,top
Ce4,0.1u,C_1206_3216Metric,116.2368,84.5778,0,top
D2,LED,LED_1206_3216Metric,121.5898,15.6464,90,top
D3,LED,LED_1206_3216Metric,85.6904,12.9532,90,top
D4,LED,LED_1206_3216Metric,111.3536,1.9812,180,top
D5,D_Schottky,D_SMA,90.3864,3.9372,90,top
D6,HBT,LED_1206_3216Metric,4.8006,25.3492,180,top
D7,LED,LED_1206_3216Metric,223.2406,114.6528,180,top
D8,LED,LED_1206_3216Metric,219.3234,112.9508,90,top
D9,LED,LED_1206_3216Metric,209.5764,84.585,180,top
D10,LED,LED_1206_3216Metric,208.157,80.0892,90,top
D11,D_Schottky,D_SMA,214.9535,78.6668,-90,top
D12,LED,LED_1206_3216Metric,207.8706,65.0494,180,top
D13,LED,LED_1206_3216Metric,205.9656,60.7568,90,top
D14,D_Schottky,D_SMA,212.5442,58.8264,-90,top
D15,LED,LED_1206_3216Metric,207.4461,48.7934,180,top
D16,LED,LED_1206_3216Metric,206.1563,44.8818,90,top
D17,D_Schottky,D_SMA,212.725,43.815,-90,top
D18,LED,LED_1206_3216Metric,207.5223,32.258,180,top
D19,LED,LED_1206_3216Metric,206.2269,28.5337,90,top
D20,D_Schottky,D_SMA,212.2678,27.305,-90,top
D21,LED,LED_1206_3216Metric,207.6463,16.1008,180,top
D22,LED,LED_1206_3216Metric,206.4555,12.0622,90,top
D23,D_Schottky,D_SMA,212.5218,10.9982,-90,top
F2,Fuse,Fuse_1812_4532Metric,214.8237,114.2716,0,top
F3,Fuse,Fuse_1812_4532Metric,203.585,82.0196,0,top
F4,Fuse,Fuse_1812_4532Metric,200.9618,64.691,0,top
F5,Fuse,Fuse_1812_4532Metric,201.2696,48.7934,0,top
F6,Fuse,Fuse_1812_4532Metric,201.4689,32.5374,0,top
F7,Fuse,Fuse_1812_4532Metric,201.2188,15.9258,0,top
MD1,OKL-T_6-W12N-C,MURATA_OKL-T-6-W12N-C_0,93.5986,21.9664,180,top
Q1,AO3401A,SOT23-3,95.6056,4.0132,180,top
R1,470,R_1206_3216Metric,118.364017,15.5796,90,top
R2,10k,R_1206_3216Metric,87.2236,6.9342,90,top
R3,250,R_1206_3216Metric,81.8896,11.2522,180,top
R4,1k,R_1206_3216Metric,90.2878,29.9458,0,top
R5,250,R_1206_3216Metric,112.8776,5.7912,90,top
