Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","CP_EIA-3216-18_Kemet-A",101.930200,15.417800,-90.000000,top
"C2","10u","C_1206_3216Metric",90.592600,13.181800,0.000000,top
"C3","0.1u","C_1206_3216Metric",115.824000,50.107100,180.000000,top
"C4","0.1u","C_1206_3216Metric",75.772400,94.146400,-90.000000,top
"C5","0.1u","C_1206_3216Metric",54.792000,93.892400,-90.000000,top
"C6","100n","C_1206_3216Metric",75.768200,79.629000,90.000000,top
"C7","100n","C_1206_3216Metric",54.838600,81.278200,90.000000,top
"C8","100n","C_1206_3216Metric",181.521600,91.287600,180.000000,top
"C9","100n","C_1206_3216Metric",180.187600,113.741200,0.000000,top
"C10","10u","C_1206_3216Metric",207.415900,137.317900,90.000000,top
"C11","10u","C_1206_3216Metric",208.889100,129.139100,0.000000,top
"C12","100n","C_1206_3216Metric",167.208200,91.135200,0.000000,top
"C13","100n","C_1206_3216Metric",164.947600,113.995200,0.000000,top
"C14","100n","C_1206_3216Metric",142.101800,49.257700,180.000000,top
"C15","1u","C_1206_3216Metric",3.027999,12.598400,90.000000,top
"C16","0.1u","C_1206_3216Metric",100.765900,91.756200,0.000000,top
"C17","100n","C_1206_3216Metric",116.179600,91.897200,180.000000,top
"C18","0.15u","C_1206_3216Metric",83.265400,94.121000,90.000000,top
"C19","10u","CP_EIA-3216-18_Kemet-A",43.053000,119.964200,180.000000,top
"C20","0.1u","C_1206_3216Metric",43.006400,117.412800,180.000000,top
"C21","0.075u","C_1206_3216Metric",78.236200,94.121000,-90.000000,top
"C22","0.15u","C_1206_3216Metric",68.254000,94.182500,90.000000,top
"C23","10u","CP_EIA-3216-18_Kemet-A",42.849800,97.485200,180.000000,top
"C24","0.1u","C_1206_3216Metric",42.801400,95.035400,180.000000,top
"C25","0.075u","C_1206_3216Metric",73.308600,94.146400,-90.000000,top
"C26","0.15u","C_1206_3216Metric",68.508000,79.643000,-90.000000,top
"C27","10u","CP_EIA-3216-18_Kemet-A",42.367200,72.110600,180.000000,top
"C28","0.1u","C_1206_3216Metric",42.468800,69.799200,180.000000,top
"C29","0.075u","C_1206_3216Metric",73.334000,79.643000,90.000000,top
"C30","0.15u","C_1206_3216Metric",83.087600,79.641200,-90.000000,top
"C31","10u","CP_EIA-3216-18_Kemet-A",45.821600,53.848000,180.000000,top
"C32","0.1u","C_1206_3216Metric",45.845500,51.540400,180.000000,top
"C33","0.075u","C_1206_3216Metric",78.261600,79.641200,90.000000,top
"C34","0.15u","C_1206_3216Metric",167.294600,98.323400,180.000000,top
"C35","0.075u","C_1206_3216Metric",167.243800,93.548200,180.000000,top
"C36","0.15u","C_1206_3216Metric",181.609500,98.577400,0.000000,top
"C37","0.075u","C_1206_3216Metric",181.620200,93.751400,0.000000,top
"C38","0.15u","C_1206_3216Metric",181.466000,84.150200,0.000000,top
"C39","0.075u","C_1206_3216Metric",181.493200,88.900000,0.000000,top
"C40","0.1u","C_1206_3216Metric",87.045800,108.813600,90.000000,top
"C41","0.01u","C_1206_3216Metric",78.415500,115.143800,180.000000,top
"C42","0.1u","C_1206_3216Metric",82.022300,118.928400,180.000000,top
"C43","0.075u","C_1206_3216Metric",100.793600,89.327600,180.000000,top
"C44","0.01u","C_1206_3216Metric",86.518800,113.051200,180.000000,top
"C45","0.1u","C_1206_3216Metric",76.174600,106.756200,0.000000,top
"C46","0.1u","C_1206_3216Metric",103.613000,107.056800,90.000000,top
"C47","0.01u","C_1206_3216Metric",96.096400,113.940200,180.000000,top
"C48","0.1u","C_1206_3216Metric",100.924200,117.801000,180.000000,top
"C49","0.075u","C_1206_3216Metric",100.742800,94.204400,180.000000,top
"C50","0.01u","C_1206_3216Metric",104.857600,111.679600,180.000000,top
"C51","0.1u","C_1206_3216Metric",95.732600,106.121200,0.000000,top
"C52","0.1u","C_1206_3216Metric",123.037600,105.613200,90.000000,top
"C53","0.01u","C_1206_3216Metric",114.280300,113.681300,180.000000,top
"C54","0.1u","C_1206_3216Metric",118.268100,117.211900,180.000000,top
"C55","0.075u","C_1206_3216Metric",116.236800,94.255200,0.000000,top
"C56","0.01u","C_1206_3216Metric",122.377200,111.201200,180.000000,top
"C57","0.1u","C_1206_3216Metric",114.274600,105.613200,0.000000,top
"C58","0.1u","C_1206_3216Metric",138.639600,106.980600,90.000000,top
"C59","0.01u","C_1206_3216Metric",131.873900,113.446600,180.000000,top
"C60","0.1u","C_1206_3216Metric",135.150500,117.078800,180.000000,top
"C61","0.075u","C_1206_3216Metric",116.236800,89.378400,0.000000,top
"C62","0.01u","C_1206_3216Metric",138.893600,110.714400,180.000000,top
"C63","0.1u","C_1206_3216Metric",129.895600,105.232200,0.000000,top
"C64","0.15u","C_1206_3216Metric",167.193000,83.830700,180.000000,top
"C65","0.075u","C_1206_3216Metric",167.193000,88.671400,180.000000,top
"C66","0.1u","C_1206_3216Metric",222.203200,68.176600,0.000000,top
"C67","0.1u","C_1206_3216Metric",226.902200,68.199000,0.000000,top
"C68","0.1u","C_1206_3216Metric",230.712500,53.492400,0.000000,top
"C69","0.1u","C_1206_3216Metric",222.097600,53.517800,180.000000,top
"C70","0.1u","C_0402_1005Metric",224.663000,42.037000,180.000000,top
"C71","0.1u","C_1206_3216Metric",222.025700,20.370800,180.000000,top
"C72","0.1u","C_1206_3216Metric",230.860600,20.066000,0.000000,top
"C73","0.1u","C_1206_3216Metric",92.107500,50.317400,180.000000,top
"C74","0.1u","C_0402_1005Metric",127.609600,14.249400,0.000000,top
"C75","0.1u","C_1206_3216Metric",131.038583,7.178800,90.000000,top
"C76","0.1u","C_0402_1005Metric",123.687200,32.662800,0.000000,top
"C77","0.1u","C_0402_1005Metric",118.835783,29.844700,90.000000,top
"C78","0.1u","C_0402_1005Metric",17.373600,10.871200,90.000000,top
"C79","0.1u","C_0402_1005Metric",29.438600,11.633200,-90.000000,top
"Ce1","0.15u","C_1206_3216Metric",100.793600,84.501600,180.000000,top
"Ce2","0.15u","C_1206_3216Metric",100.766400,99.055800,180.000000,top
"Ce3","0.15u","C_1206_3216Metric",116.200700,99.030400,0.000000,top
"Ce4","0.15u","C_1206_3216Metric",116.236800,84.577800,0.000000,top
"D1","1N5822RLG","D_DO-201AD_P15.24mm_Horizontal",135.658400,35.053000,0.000000,top
"D2","LED","LED_1206_3216Metric",121.589800,15.646400,90.000000,top
"D3","LED","LED_1206_3216Metric",85.690400,12.953200,90.000000,top
"D4","LED","LED_1206_3216Metric",111.353600,1.981200,180.000000,top
"D5","D_Schottky","D_SMA",90.386400,3.937200,90.000000,top
"D6","HBT","LED_1206_3216Metric",4.800600,25.349200,180.000000,top
"D7","LED","LED_1206_3216Metric",223.240600,114.652800,180.000000,top
"D8","LED","LED_1206_3216Metric",219.323400,112.950800,90.000000,top
"D9","LED","LED_1206_3216Metric",209.576400,84.585000,180.000000,top
"D10","LED","LED_1206_3216Metric",208.157000,80.089200,90.000000,top
"D11","D_Schottky","D_SMA",214.953500,78.666800,-90.000000,top
"D12","LED","LED_1206_3216Metric",207.870600,65.049400,180.000000,top
"D13","LED","LED_1206_3216Metric",205.965600,60.756800,90.000000,top
"D14","D_Schottky","D_SMA",212.544200,58.826400,-90.000000,top
"D15","LED","LED_1206_3216Metric",207.446100,48.793400,180.000000,top
"D16","LED","LED_1206_3216Metric",206.156300,44.881800,90.000000,top
"D17","D_Schottky","D_SMA",212.725000,43.815000,-90.000000,top
"D18","LED","LED_1206_3216Metric",207.522300,32.258000,180.000000,top
"D19","LED","LED_1206_3216Metric",206.226900,28.533700,90.000000,top
"D20","D_Schottky","D_SMA",212.267800,27.305000,-90.000000,top
"D21","LED","LED_1206_3216Metric",207.646300,16.100800,180.000000,top
"D22","LED","LED_1206_3216Metric",206.455500,12.062200,90.000000,top
"D23","D_Schottky","D_SMA",212.521800,10.998200,-90.000000,top
"F1","10A","FUSE_4628",138.198400,12.980400,90.000000,top
"F2","Fuse","Fuse_1812_4532Metric",214.823700,114.271600,0.000000,top
"F3","Fuse","Fuse_1812_4532Metric",203.585000,82.019600,0.000000,top
"F4","Fuse","Fuse_1812_4532Metric",200.961800,64.691000,0.000000,top
"F5","Fuse","Fuse_1812_4532Metric",201.269600,48.793400,0.000000,top
"F6","Fuse","Fuse_1812_4532Metric",201.468900,32.537400,0.000000,top
"F7","Fuse","Fuse_1812_4532Metric",201.218800,15.925800,0.000000,top
"J1","CON_FAN1","P-2604-1102",171.840800,5.481800,-90.000000,top
"J2","Conn_Batt","P-2604-1102",156.731600,5.481800,-90.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",104.211600,4.277200,180.000000,top
"J4","LoadCell_1_2","P-2604-1108",5.207000,88.940600,180.000000,top
"J5","LoadCell_3_4","P-2604-1108",5.434200,44.943006,180.000000,top
"J6","Screw_Terminal_01x10","P-2604-1110",174.673400,137.971400,90.000000,top
"J7","Raspberry_pi","PinHeader_2x20_P2.00mm_Vertical",23.368000,40.592800,0.000000,top
"J8","Screw_Terminal_01x08","P-2604-1108",91.033600,139.014200,90.000000,top
"J9","Screw_Terminal_01x10","P-2604-1110",243.762400,41.690200,0.000000,top
"J10","Keyhole ignition switch","P-2604-1102",218.184984,139.701400,90.000000,top
"J11","Screw_Terminal_01x04","P-2604-1104",245.238400,116.862593,0.000000,top
"J12","Buzzer","P-2604-1102",244.576600,131.344416,0.000000,top
"JP1","Jumper_3_Bridged12","PinHeader_1x03_P2.00mm_Vertical",41.630600,125.933200,90.000000,top
"JP2","Jumper_3_Bridged12","PinHeader_1x03_P2.00mm_Vertical",41.789600,103.581200,90.000000,top
"JP3","Jumper_3_Bridged12","PinHeader_1x03_P2.00mm_Vertical",41.662600,77.673200,90.000000,top
"JP4","Jumper_3_Bridged12","PinHeader_1x03_P2.00mm_Vertical",43.948600,57.861200,90.000000,top
"JP5","Jumper_3_Bridged12","PinHeader_1x03_P2.00mm_Vertical",86.715600,1.854200,-90.000000,top
"MD1","OKL-T_6-W12N-C","MURATA_OKL-T-6-W12N-C_0",93.598600,21.966400,180.000000,top
"Q1","AO3401A","SOT23-3",95.605600,4.013200,180.000000,top
"Q2","PN2222A","TO-92_Inline",3.073400,31.161400,0.000000,top
"Q3","IRF3708","TO254P1041X444X1930-3",212.318600,108.125000,0.000000,top
"Q4","IRF3708","TO254P1041X444X1930-3",200.613200,75.409000,0.000000,top
"Q5","IRF3708","TO254P1041X444X1930-3",198.810100,58.214000,0.000000,top
"Q6","IRF3708","TO254P1041X444X1930-3",198.741200,41.859200,0.000000,top
"Q7","IRF3708","TO254P1041X444X1930-3",198.987900,24.508200,0.000000,top
"Q8","IRF3708","TO254P1041X444X1930-3",199.216500,8.963400,0.000000,top
"R1","470","R_1206_3216Metric",118.364017,15.579600,90.000000,top
"R2","10k","R_1206_3216Metric",87.223600,6.934200,90.000000,top
"R3","250","R_1206_3216Metric",81.889600,11.252200,180.000000,top
"R4","1.34k","R_1206_3216Metric",90.287800,29.945800,0.000000,top
"R5","250","R_1206_3216Metric",112.877600,5.791200,90.000000,top
"R6","10.4M","R_1206_3216Metric",210.946500,136.327300,0.000000,top
"R7","1.2M","R_1206_3216Metric",211.098900,140.137300,180.000000,top
"R8","1k","R_1206_3216Metric",4.546600,40.547400,0.000000,top
